id|name|description|monster|type|tier_icon
0|Noxious Foe|Kill an Aberrant Spectre.|Aberrant Spectre|Kill Count|3399
24|Barrows Novice|Open the Barrows chest 10 times.|Barrows|Kill Count|3399
28|Defence? What Defence?|Kill any Barrows Brother using only magical damage.|Barrows|Restriction|3399
32|Big, Black and Fiery|Kill a Black Dragon.|Black Dragon|Kill Count|3399
33|The Demonic Punching Bag|Kill a Bloodveld.|Bloodveld|Kill Count|3399
35|Bryophyta Novice|Kill Bryophyta once.|Bryophyta|Kill Count|3399
37|Protection from Moss|Kill Bryophyta with the Protect from Magic prayer active.|Bryophyta|Mechanical|3399
39|Preparation Is Key|Kill Bryophyta without suffering any poison damage.|Bryophyta|Perfection|3399
40|A Slow Death|Kill Bryophyta with either poison or venom being the final source of damage.|Bryophyta|Restriction|3399
41|Fighting as Intended II|Kill Bryophyta on a free to play world.|Bryophyta|Restriction|3399
76|Deranged Archaeologist Novice|Kill the Deranged Archaeologist 10 times.|Deranged Archaeologist|Kill Count|3399
80|The Walking Volcano|Kill a Fire Giant.|Fire Giant|Kill Count|3399
398|Into the Den of Giants|Kill a Hill Giant, Moss Giant and Fire Giant in the Giant Cave within the Shayzien region.|None|Kill Count|3399
120|A Greater Foe|Kill a Greater Demon.|Greater Demon|Kill Count|3399
121|Not So Great After All|Finish off a Greater Demon with a demonbane weapon.|Greater Demon|Restriction|3399
122|A Demon's Best Friend|Kill a Hellhound.|Hellhound|Kill Count|3399
129|Obor Novice|Kill Obor once.|Obor|Kill Count|3399
131|Sleeping Giant|Kill Obor whilst he is immobilized.|Obor|Mechanical|3399
134|Fighting as Intended|Kill Obor on a free to play world.|Obor|Restriction|3399
162|King Black Dragon Novice|Kill the King Black Dragon 10 times.|King Black Dragon|Kill Count|3399
174|A Scaley Encounter|Kill a Lizardman Shaman.|Lizardman Shaman|Kill Count|3399
175|Shayzien Protector|Kill a Lizardman Shaman in Molch which has not dealt damage to anyone (excluding it's Spawns).|Lizardman Shaman|Perfection|3399
177|Giant Mole Novice|Kill the Giant Mole 10 times.|Giant Mole|Kill Count|3399
206|Sarachnis Novice|Kill Sarachnis 10 times.|Sarachnis|Kill Count|3399
279|Wintertodt Novice|Subdue the Wintertodt 10 times.|Wintertodt|Kill Count|3399
281|Mummy!|Heal a pyromancer after they have fallen.|Wintertodt|Mechanical|3399
282|Handyman|Repair a brazier which has been destroyed by the Wintertodt.|Wintertodt|Mechanical|3399
285|Cosy|Subdue the Wintertodt with four pieces of warm equipment equipped.|Wintertodt|Restriction|3399
287|A Slithery Encounter|Kill a Wyrm.|Wyrm|Kill Count|3399
353|Tempoross Novice|Subdue Tempoross 10 times.|Tempoross|Kill Count|3399
356|Master of Buckets|Extinguish at least 5 fires during a single Tempoross fight.|Tempoross|Mechanical|3399
357|Calm Before the Storm|Repair either a mast or a totem pole.|Tempoross|Mechanical|3399
360|Fire in the Hole!|Attack Tempoross from both sides by loading both cannons on both ships.|Tempoross|Mechanical|3399
