id|name|description|area|type|tier_icon|client_sort_id
495|Open the Leagues Menu|Open the Leagues Menu found within the Journal Panel.|Global|Other|2316|0
496|Complete the Leagues Tutorial|Complete the Leagues Tutorial and begin your adventure.|Global|Other|2316|1
497|Achieve Your First Level Up|Level up any of your skills for the first time.|Global|Skill|2316|2
498|Achieve Your First Level 5|Reach level 5 in any skill (not including Agility, Hitpoints and Runecraft).|Global|Skill|2316|3
499|Achieve Your First Level 10|Reach level 10 in any skill (not including Agility and Hitpoints).|Global|Skill|2316|4
500|Achieve Your First Level 20|Reach level 20 in any skill.|Global|Skill|2316|5
709|Reach Combat Level 10|Reach Combat Level 10.|Global|Combat|2316|6
202|Complete a Beginner Clue Scroll|Complete a Beginner Clue Scroll by opening a Reward Casket.|Global|Minigame|2316|7
219|Defeat a Goblin|Defeat a Goblin. After all, this still isn't the Goblin League.|Global|Combat|2316|8
316|Bury Some Bones|Bury any kind of Bones.|Global|Combat|2316|9
383|Visit Ferox Enclave|Visit Ferox Enclave.|Wilderness|Other|2316|10
428|Turn in 1 Library Book|Find and turn in a book in the Arceuus Library.|Kourend & Kebos|Other|2316|11
429|Turn in 10 Library Books|Find and turn in 10 books in the Arceuus Library.|Kourend & Kebos|Other|2316|12
477|Bank at Land's End|Open your Bank using the Bank at Land's End.|Kourend & Kebos|Other|2316|13
478|Bank at Mount Quidamortem|Open your Bank using the Bank at Mount Quidamortem.|Kourend & Kebos|Other|2316|14
479|Travel to Molch Island|Take one of the boats around Lake Molch to Molch Island.|Kourend & Kebos|Other|2316|15
579|Pickpocket a Citizen|Pickpocket a Man or a Woman.|Global|Skill|2316|16
580|Open 28 Coin Pouches At Once|Open 28 Coin Pouches at once.|Global|Skill|2316|17
581|Steal a Chocolate Slice|Steal a Chocolate Slice from a Bakery Stall.|Global|Skill|2316|18
586|Rake a Farming Patch|Rake any Farming patch.|Global|Skill|2316|19
587|Plant Seeds in an Allotment Patch|Plant some seeds in an Allotment patch.|Global|Skill|2316|20
595|Chop Some Logs|Chop any kind of logs.|Global|Skill|2316|21
602|Cook Shrimp|Cook Raw Shrimp.|Global|Skill|2316|22
603|Burn Some Food|Burn any kind of food while trying to cook it.|Global|Skill|2316|23
609|Mine some Copper Ore|Mine some Copper Ore.|Global|Skill|2316|24
616|Fletch Some Arrow Shafts|Fletch some Arrow Shafts.|Global|Skill|2316|25
624|Receive a Slayer Task|Receive a Slayer Task from any Slayer Master.|Global|Combat|2316|26
639|Spin a Ball of Wool|Use a Spinning Wheel to spin a Ball of Wool.|Global|Skill|2316|27
648|Catch a Shrimp|Catch Raw Shrimp while Fishing.|Global|Skill|2316|28
649|Catch a Herring|Catch a Raw Herring whilst Fishing.|Global|Skill|2316|29
655|Smelt a Bronze Bar|Use a Furnace to smelt a Bronze Bar.|Global|Skill|2316|30
666|Turn any Logs Into a Plank|Use a Sawmill to turn Logs into a Plank.|Global|Skill|2316|31
672|Visit the Rune Essence Mine|Visit the Rune Essence Mine.|Global|Skill|2316|32
679|Burn Some Normal Logs|Burn some Normal Logs.|Global|Skill|2316|33
739|Cast Home Teleport|Cast the Home Teleport spell.|Global|Skill|2316|34
759|Use the Range in Lumbridge Castle|Use the Range in Lumbridge Castle to cook some food.|Misthalin|Skill|2316|35
766|Steal From the Varrock Tea Stall|Steal from the Tea Stall in Varrock.|Misthalin|Skill|2316|36
801|Complete Rune Mysteries|Complete the Rune Mysteries quest.|Misthalin|Quest|2316|37
807|Pet a Stray Dog in Varrock|Pet a Stray Dog in Varrock.|Misthalin|Other|2316|38
809|Complete Sheep Shearer|Complete the Sheep Shearer quest.|Misthalin|Quest|2316|39
813|Complete Romeo & Juliet|Complete the Romeo & Juliet Quest|Misthalin|Quest|2316|40
815|Complete Gertrude's Cat|Complete the Gertrude's Cat quest.|Misthalin|Quest|2316|41
821|Complete the Natural History Quiz|Complete the Natural History Quiz in the Varrock Museum.|Misthalin|Other|2316|42
822|Enter Draynor Manor|Enter Draynor Manor through the front door.|Misthalin|Other|2316|43
998|Fill a Crate With Bananas|Fill a crate with Bananas for Luthas at Musa Point.|Karamja|Other|2316|44
1009|Complete the Gnome Stronghold Agility Course|Complete a lap of the Gnome Stronghold Agility Course.|Kandarin|Skill|2316|45
1057|Visit the Tree Gnome Village|Visit the Tree Gnome Village.|Kandarin|Other|2316|46
1060|Visit the Tree Gnome Stronghold|Visit the Tree Gnome Stronghold.|Kandarin|Other|2316|47
1064|Complete Monk's Friend|Complete the Monk's Friend quest.|Kandarin|Quest|2316|48
1097|Craft an Air Rune|Craft an Air Rune from Essence at the Air Altar.|Asgarnia|Skill|2316|49
1146|Enter the Taverley Dungeon|Enter the Taverley Dungeon.|Asgarnia|Other|2316|50
1205|Go Through the Al Kharid Gate|Go through the Al Kharid gate.|Kharidian Desert|Other|2316|51
1213|Use the Bank in Nardah|Use the Bank in Nardah.|Kharidian Desert|Other|2316|52
1217|Cut a Cactus in the Kharidian Desert|Cut a Cactus in the Kharidian Desert.|Kharidian Desert|Other|2316|53
1219|Enter the Kalphite Lair|Enter the Kalphite Lair.|Kharidian Desert|Other|2316|54
1346|Order a Drink at The Old Nite|Order a drink at The Old Nite.|Wilderness|Other|2316|55
1504|Pick Wheat in Catherby|Pick some wheat in the field by the Catherby Farming patches.|Kandarin|Other|2316|56
1505|Buy Something From Trader Crewmembers|Buy something from the Trader Crewmembers.|Global|Other|2316|57
1506|Get Stung By Bees|Get stung by bees at the Beehives.|Kandarin|Other|2316|58
1507|Drink a Poison Chalice|Drink a Poison Chalice.|Kandarin|Other|2316|59
1508|Make some Flour|Make some Flour in a windmill.|Global|Other|2316|60
509|Reach Total Level 100|Reach a Total Level of 100.|Global|Skill|2317|61
510|Reach Total Level 250|Reach a Total Level of 250.|Global|Skill|2317|62
511|Reach Total Level 500|Reach a Total Level of 500.|Global|Skill|2317|63
710|Reach Combat Level 25|Reach Combat Level 25.|Global|Combat|2317|64
0|Complete Client of Kourend|Complete the Client of Kourend quest.|Kourend & Kebos|Quest|2317|65
1|Complete Queen of Thieves|Complete the Queen of Thieves quest.|Kourend & Kebos|Quest|2317|66
2|Complete Forsaken Tower|Complete the Forsaken Tower quest.|Kourend & Kebos|Quest|2317|67
3|Complete Ascent of Arceuus|Complete the Ascent of Arceuus quest.|Kourend & Kebos|Quest|2317|68
11|Burn Some Coloured Logs|Burn some logs that have been coloured with a firelighter.|Global|Minigame|2317|69
15|Eat some Purple Sweets|Eat some Purple Sweets.|Global|Minigame|2317|70
165|Gain a Unique Item From an Easy Clue|Gain a unique item from an Easy Clue Scroll Reward Casket.|Global|Minigame|2317|71
175|Gain a Unique Item From a Beginner Clue|Gain a unique item from a Beginner Clue Scroll Reward Casket.|Global|Minigame|2317|72
192|Complete an Easy Clue Scroll|Complete an Easy Clue Scroll by opening a Reward Casket.|Global|Minigame|2317|73
210|Defeat a Moss Giant|Defeat a Moss Giant.|Global|Combat|2317|74
220|Defeat a Guard|Defeat a Guard.|Global|Combat|2317|75
257|Equip a Wizard Robe and Hat|Equip any wizard robe along with any wizard hat.|Global|Combat|2317|76
266|Friend of House Hosidius|Achieve 100% favour with the Hosidius House.|Kourend & Kebos|Achievement|2317|77
267|Friend of House Shayzien|Achieve 100% favour with the Shayzien House.|Kourend & Kebos|Achievement|2317|78
268|Friend of House Arceuus|Achieve 100% favour with the Arceuus House.|Kourend & Kebos|Achievement|2317|79
269|Friend of House Lovakengj|Achieve 100% favour with the Lovakengj House.|Kourend & Kebos|Achievement|2317|80
270|Friend of House Piscarilius|Achieve 100% favour with the Piscarilius House.|Kourend & Kebos|Achievement|2317|81
271|Steal a Golovanova Fruit Top|Steal a Golovanova fruit top from a fruit stall in Hosidius.|Kourend & Kebos|Skill|2317|82
314|Superhuman Strength and Improved Reflexes|Use both the Superhuman Strength prayer and the Improved Reflexes prayer at the same time.|Global|Combat|2317|83
313|Restore 5 Prayer Points at an Altar|Restore 5 or more Prayer Points at any altar.|Global|Combat|2317|84
410|Kourend and Kebos Easy Diary Tasks|Complete all tasks in the easy tier of the Kourend and Kebos achievement diary.|Kourend & Kebos|Achievement|2317|85
414|Open 1 Grubby Chest|Open the grubby chest in the Forthos Dungeon.|Kourend & Kebos|Other|2317|86
421|Steal 1 Artefact|Steal an artefact for Captain Khaled in Piscarilius.|Kourend & Kebos|Skill|2317|87
422|Steal 10 Artefacts|Steal 10 artefacts for Captain Khaled in Piscarilius.|Kourend & Kebos|Skill|2317|88
430|Turn in 25 Library Books|Find and turn in 25 books in the Arceuus Library.|Kourend & Kebos|Other|2317|89
431|Turn in 50 Library Books|Find and turn in 50 books in the Arceuus Library.|Kourend & Kebos|Other|2317|90
432|Turn in 100 Library Books|Find and turn in 100 books in the Arceuus Library.|Kourend & Kebos|Other|2317|91
475|Enter Level 3 of the Chasm of Fire|Enter the 3rd level of the Chasm of Fire in Shayzien.|Global|Other|2317|92
476|Receive a Konar Slayer Task|Have a Slayer Task assigned by Konar.|Kourend & Kebos|Combat|2317|93
481|Unlock All Catacombs Entrances|Unlock all entrances to the Catacombs of Kourend around the kingdom.|Kourend & Kebos|Other|2317|94
588|Protect Your Crops|Pay a farmer to protect any of your crops.|Global|Skill|2317|95
596|Chop Some Logs With a Steel Axe|Chop any kind of logs using a Steel Axe.|Global|Skill|2317|96
597|Obtain a Bird Nest|Obtain a Bird Nest whilst cutting down trees.|Global|Skill|2317|97
604|Successfully Cook 5 Pieces of Food|Cook 5 pieces of food in a row without burning them.|Global|Skill|2317|98
610|Mine some Ore With a Steel Pickaxe|Mine any ore using a Steel Pickaxe.|Global|Skill|2317|99
611|Obtain a Gem While Mining|Obtain any kind of gem whilst mining a rock.|Global|Skill|2317|100
617|Fletch an Oak Shortbow|Fletch an Oak Shortbow.|Global|Skill|2317|101
618|Fletch 150 Iron Arrows|Fletch 150 Iron Arrows.|Global|Skill|2317|102
625|Earn Some Slayer Points|Earn some Slayer Points by completing a Slayer Task.|Global|Combat|2317|103
626|Check Your Slayer Task|Use an Enchanted Gem to check your Slayer Task.|Global|Combat|2317|104
629|Equip a Spiny Helmet|Equip a Spiny Helmet.|Global|Combat|2317|105
640|Cut a Sapphire|Cut a Sapphire.|Global|Skill|2317|106
641|Craft a Leather Body|Craft a Leather Body.|Global|Skill|2317|107
650|Catch an Anchovy|Catch a Raw Anchovy whilst Fishing.|Global|Skill|2317|108
656|Smelt an Iron Bar|Use a Furnace to smelt an Iron Bar.|Global|Skill|2317|109
657|Smith 150 Iron Arrowtips|Use an Anvil to smith 150 Iron Arrowtips.|Global|Skill|2317|110
664|Purchase a Player Owned House|Purchase a Player Owned House.|Global|Skill|2317|111
665|Build a Room in Your Player Owned House|Build a room in your Player Owned House.|Global|Skill|2317|112
673|Craft Any Rune|Use a Runecrafting Altar to craft any type of rune from Essence.|Global|Skill|2317|113
674|Locate a Runecrafting Altar With a Talisman|Use any talisman to check the location of a Runecrafting Altar.|Global|Skill|2317|114
680|Burn Some Oak Logs|Burn some Oak Logs.|Global|Skill|2317|115
681|Light a Torch|Light a Torch.|Global|Skill|2317|116
687|Catch a Baby Impling|Catch a Baby Impling.|Global|Skill|2317|117
688|Snare a Bird|Catch any bird with a Bird Snare.|Global|Skill|2317|118
696|Complete a Rooftop Agility Course|Complete a lap of any Rooftop Agility Course.|Global|Skill|2317|119
694|Obtain a Mark of Grace|Obtain a Mark of Grace from any Rooftop Agility Course.|Global|Skill|2317|120
699|Clean a Grimy Guam|Clean a Grimy Guam.|Global|Skill|2317|121
700|Make an Attack Potion|Make an Attack Potion.|Global|Skill|2317|122
701|Drink a Strength Potion|Drink a Strength Potion.|Global|Skill|2317|123
717|Visit Death's Domain|Visit Death's Domain.|Global|Combat|2317|124
720|Equip a Mithril Weapon|Equip any Mithril weapon.|Global|Combat|2317|125
725|Equip a Full Mithril Set|Equip a Mithril Platebody, a Mithril Full Helm and either some Mithril Platelegs or a Mithril Plateskirt.|Global|Combat|2317|126
729|Equip a Studded Body and Chaps|Equip a Studded Body along with some Studded Chaps.|Global|Combat|2317|127
734|Equip a Maple Shortbow|Equip a Maple Shortbow.|Global|Combat|2317|128
738|Equip an Elemental Staff|Equip a basic elemental staff.|Global|Combat|2317|129
763|Pickpocket a H.A.M. Member|Pickpocket any H.A.M. member at their hideout.|Misthalin|Skill|2317|130
768|Complete the Draynor Agility Course|Complete a lap of the Draynor Rooftop Agility Course.|Misthalin|Skill|2317|131
771|Craft 50 Water Runes|Craft 50 Water Runes from Essence at the Water Altar.|Misthalin|Skill|2317|132
775|Defeat the Lesser Demon in the Wizards' Tower|Defeat the Lesser Demon at the top of the Wizards' Tower.|Misthalin|Combat|2317|133
784|Receive a Slayer Task From Vannaka|Receive a Slayer Task from Vannaka in Edgeville Dungeon.|Misthalin|Combat|2317|134
797|Complete the Easy Lumbridge & Draynor Diary|Complete all of the easy tasks in the Lumbridge & Draynor Achievement Diary.|Misthalin|Achievement|2317|135
803|Enter Zanaris|Enter the lost city of Zanaris.|Misthalin|Other|2317|136
810|Drink From the Tears of Guthix|Drink from the Tears of Guthix in the Lumbridge Swamp Caves.|Misthalin|Other|2317|137
811|Equip Some Fancy Boots or Fighting Boots|Equip either a pair of Fancy Boots or a pair of Fighting Boots.|Misthalin|Other|2317|138
812|Complete Vampyre Slayer|Complete the Vampyre Slayer quest.|Misthalin|Quest|2317|139
814|Fully Unlock the Mycelium Transportation System|Unlock every destination for the Mycelium Transportation System on Fossil Island.|Misthalin|Other|2317|140
816|Build a Bank on Fossil Island|Build a Bank at the Museum Camp on Fossil Island.|Misthalin|Other|2317|141
